Date,Open,High,Low,Close,Volume
2020-02-24,93.5,94.12,93.49,93.81,62192
2020-02-25,94.33,94.69,92.45,93.25,116677
2020-02-26,91.56,91.85,91.06,91.31,186285
2020-02-27,90.89,91.07,90.0,90.88,73989
2020-02-28,89.37,91.3,88.31,89.72,64995
2020-03-02,88.78,89.21,88.74,89.14,89350
2020-03-03,88.45,89.25,88.24,88.95,139132
2020-03-04,89.22,89.4,87.88,88.33,165945
2020-03-05,87.52,88.35,86.18,87.59,190148
2020-03-06,87.2,87.75,87.16,87.59,55750
2020-03-09,88.38,88.63,86.32,87.2,141036
2020-03-10,86.54,87.31,86.48,87.13,167305
2020-03-11,86.65,87.76,86.25,87.6,161497
2020-03-12,89.23,89.6,88.81,89.5,107124
2020-03-13,92.1,92.5,90.53,90.95,140221
2020-03-16,96.2,97.95,96.17,96.73,132569
2020-03-17,95.95,96.59,94.61,95.85,66351
2020-03-18,97.38,97.82,97.34,97.62,199335
2020-03-19,98.06,98.94,96.93,97.07,191407
2020-03-20,99.7,99.99,98.69,99.91,170747
2020-03-23,98.11,99.82,97.95,99.72,75566
2020-03-24,100.28,101.94,99.63,100.38,180956
2020-03-25,97.27,97.3,94.71,96.69,123616
2020-03-26,95.35,95.89,94.72,95.49,136694
2020-03-27,97.84,97.94,96.13,96.48,114729
2020-03-30,94.66,95.02,93.64,94.97,115982
2020-03-31,96.67,97.47,95.14,95.71,81480
2020-04-01,96.51,97.38,96.09,97.11,94739
2020-04-02,95.71,95.99,93.07,95.58,173728
2020-04-03,96.6,96.96,95.61,96.92,130059
2020-04-06,99.59,101.41,99.05,99.21,96151
2020-04-07,96.98,99.2,96.62,97.76,116981
2020-04-08,96.32,96.38,95.95,96.17,56901
2020-04-09,96.62,96.71,95.39,96.19,122391
2020-04-10,97.0,97.61,94.76,95.65,61874
2020-04-13,102.04,102.96,100.81,101.7,62100
2020-04-14,101.29,102.48,100.95,101.95,79437
2020-04-15,102.49,104.48,99.64,101.95,171219
2020-04-16,102.7,103.15,101.34,102.6,92933
2020-04-17,103.31,105.03,102.88,104.62,66279
2020-04-20,100.16,100.98,100.13,100.15,127485
2020-04-21,97.99,98.18,97.32,97.49,163892
2020-04-22,97.23,98.7,96.96,97.16,143185
2020-04-23,96.58,97.07,95.43,96.99,99649
2020-04-24,97.41,98.65,97.15,97.51,80676
2020-04-27,93.96,94.54,92.79,93.4,81923
2020-04-28,87.77,91.61,87.57,91.15,171757
2020-04-29,90.91,91.46,88.05,89.6,85554
2020-04-30,91.3,92.19,90.85,91.48,69692
2020-05-01,92.18,92.94,91.88,92.71,196621
2020-05-04,89.31,91.08,88.88,90.28,163502
2020-05-05,96.69,97.15,95.72,96.45,78054
2020-05-06,96.4,96.94,96.14,96.75,115727
2020-05-07,98.84,99.53,98.57,98.7,63682
2020-05-08,100.37,100.38,100.12,100.19,141198
2020-05-11,96.15,96.35,95.85,96.24,59221
2020-05-12,96.27,96.61,94.39,95.49,126918
2020-05-13,93.4,95.06,92.51,94.91,171008
2020-05-14,95.85,95.88,93.64,95.04,75954
2020-05-15,94.02,94.19,93.02,93.79,51961
2020-05-18,93.18,93.27,91.92,92.35,63255
2020-05-19,95.15,95.75,95.01,95.68,173802
2020-05-20,99.38,99.42,98.05,98.34,155982
2020-05-21,99.14,100.01,98.38,98.38,125033
2020-05-22,98.59,100.36,98.21,99.06,119783
2020-05-25,94.28,95.42,94.22,94.88,193464
2020-05-26,96.62,98.19,95.56,97.26,68782
2020-05-27,97.63,98.99,97.06,97.75,174591
2020-05-28,94.89,96.46,94.52,95.4,54765
2020-05-29,96.0,96.1,95.37,95.96,127525
2020-06-01,101.91,103.14,101.74,103.09,154188
2020-06-02,105.35,106.18,104.12,104.19,75901
2020-06-03,104.45,106.36,103.23,105.15,174997
2020-06-04,104.52,104.79,103.76,104.5,183059
2020-06-05,105.55,105.7,104.55,104.74,95927
2020-06-08,107.03,107.68,106.59,106.9,103592
2020-06-09,106.55,108.03,106.39,107.16,179572
2020-06-10,108.48,110.72,108.41,109.07,162669
2020-06-11,110.24,110.36,109.43,109.96,60956
2020-06-12,112.12,112.28,109.71,110.35,112901
2020-06-15,112.22,114.1,112.16,112.56,81417
2020-06-16,110.86,113.79,110.7,111.66,182659
2020-06-17,109.17,109.59,109.05,109.56,125886
2020-06-18,112.36,112.81,111.36,111.61,70884
2020-06-19,109.7,109.74,109.31,109.47,97111
2020-06-22,108.03,108.28,106.8,107.01,116125
2020-06-23,106.03,106.88,105.85,106.74,99223
2020-06-24,106.74,107.36,106.35,106.84,125504
2020-06-25,106.97,108.59,106.94,107.65,194341
2020-06-26,110.04,110.43,109.44,110.28,94036
2020-06-29,113.83,114.58,112.41,113.35,138209
2020-06-30,115.8,115.93,115.07,115.31,64719
2020-07-01,116.46,116.91,114.94,116.82,196158
2020-07-02,116.35,116.95,116.01,116.27,68019
2020-07-03,121.8,122.47,121.77,121.97,96999
2020-07-06,120.2,122.85,119.3,120.96,150706
2020-07-07,121.14,122.26,118.8,120.96,126173
2020-07-08,118.08,119.44,117.53,118.37,107530
2020-07-09,118.84,119.4,118.24,118.88,186385
2020-07-10,122.87,123.98,121.74,122.13,109550
2020-07-13,123.13,123.54,122.41,123.27,103218
2020-07-14,121.67,122.69,121.62,122.36,131780
2020-07-15,121.39,121.84,119.29,119.89,105468
2020-07-16,117.0,117.37,116.63,117.07,100599
2020-07-17,119.01,119.25,116.81,117.23,118207
2020-07-20,119.83,120.07,118.7,119.89,120442
2020-07-21,118.27,119.98,117.38,118.19,99877
2020-07-22,115.15,116.69,114.91,116.41,195263
2020-07-23,118.09,118.87,115.31,117.89,63704
2020-07-24,117.83,118.82,115.64,116.89,162752
2020-07-27,115.78,117.51,115.66,116.39,197580
2020-07-28,115.38,116.29,114.28,115.47,127853
2020-07-29,113.15,113.54,112.65,113.03,135016
2020-07-30,108.9,109.42,107.76,108.71,177581
2020-07-31,109.25,111.75,108.76,110.59,88346
2020-08-03,108.67,108.73,107.81,108.2,95865
2020-08-04,108.83,108.86,108.66,108.69,123914
2020-08-05,108.09,108.14,107.91,107.94,91198
2020-08-06,106.78,107.16,106.52,107.06,186949
2020-08-07,106.84,107.47,105.28,105.64,82766
2020-08-10,106.43,106.92,105.92,106.33,199515
2020-08-11,104.44,105.63,104.1,104.42,70855
2020-08-12,106.75,107.33,106.7,106.93,102003
2020-08-13,106.55,106.91,104.19,104.82,173805
2020-08-14,103.85,104.6,102.37,103.63,172035
2020-08-17,100.77,102.95,99.67,100.04,131326
2020-08-18,101.7,102.29,100.93,101.04,103311
2020-08-19,99.36,99.71,98.93,99.19,130152
2020-08-20,99.03,100.29,98.15,99.49,91743
2020-08-21,100.08,100.41,99.63,100.02,84578
2020-08-24,101.61,102.17,100.6,101.22,56364
2020-08-25,101.3,103.07,100.5,101.76,107062
2020-08-26,104.87,105.02,103.86,104.7,113928
2020-08-27,106.16,107.38,106.01,107.22,78164
2020-08-28,107.92,108.73,107.46,108.21,76553
2020-08-31,106.35,106.62,106.07,106.56,185747
2020-09-01,106.73,107.12,104.23,106.17,96418
2020-09-02,100.91,102.35,98.58,100.65,140071
2020-09-03,100.33,101.42,100.06,100.27,53178
2020-09-04,99.16,100.1,99.05,99.44,162025
2020-09-07,106.64,107.67,105.73,105.9,133291
2020-09-08,106.21,106.59,104.83,106.01,138774
2020-09-09,106.1,107.03,105.99,106.41,159863
2020-09-10,107.03,107.56,106.77,106.83,83783
2020-09-11,105.47,106.98,105.37,106.13,136483
2020-09-14,107.0,107.01,105.94,106.31,104745
2020-09-15,107.2,110.32,106.75,108.59,101033
2020-09-16,105.84,107.27,104.1,106.13,159975
2020-09-17,110.04,110.55,107.94,108.07,57452
2020-09-18,107.79,109.3,107.49,108.88,161462
2020-09-21,106.88,107.64,106.81,106.81,139745
2020-09-22,108.63,108.72,108.08,108.43,187207
2020-09-23,109.01,109.02,107.31,108.07,103687
2020-09-24,105.98,106.55,104.76,105.88,57697
2020-09-25,107.81,108.34,106.16,106.7,59615
2020-09-28,107.51,108.22,106.29,107.52,121117
2020-09-29,107.46,107.68,107.0,107.07,122684
2020-09-30,106.27,106.31,105.83,106.09,56638
2020-10-01,107.58,107.8,105.66,105.68,73382
2020-10-02,103.2,104.67,103.01,103.75,181936
2020-10-05,114.45,115.83,114.31,114.51,177775
2020-10-06,111.23,114.76,110.91,114.06,90542
2020-10-07,109.68,111.71,108.4,110.15,65960
2020-10-08,110.61,113.38,110.17,112.89,123290
2020-10-09,112.35,113.38,112.28,112.49,143715
2020-10-12,114.06,115.29,113.45,113.84,131006
2020-10-13,112.03,112.37,109.98,112.23,119639
2020-10-14,111.37,111.86,110.54,110.98,178674
2020-10-15,108.96,109.49,108.26,108.63,177251
2020-10-16,107.69,108.17,107.21,107.6,155573
2020-10-19,110.06,110.17,109.85,110.04,198955
2020-10-20,111.97,112.48,109.07,110.19,125986
2020-10-21,108.16,109.09,107.15,108.78,106396
2020-10-22,107.08,108.03,107.02,107.11,113014
2020-10-23,106.39,106.85,106.36,106.83,126441
2020-10-26,109.27,109.56,108.95,109.14,150211
2020-10-27,110.82,111.09,108.39,110.09,193687
2020-10-28,109.27,110.77,108.41,109.03,138422
2020-10-29,109.25,109.74,108.1,108.26,80573
2020-10-30,108.54,108.86,108.18,108.36,168580
2020-11-02,105.5,105.63,105.07,105.24,136133
2020-11-03,104.73,105.0,104.15,104.35,176299
2020-11-04,105.74,105.78,104.52,105.55,185705
2020-11-05,104.43,105.88,104.31,105.73,86386
2020-11-06,107.39,109.15,106.21,106.94,195486
2020-11-09,104.21,104.56,104.21,104.24,165194
2020-11-10,104.1,105.08,102.3,104.34,61350
2020-11-11,105.05,107.03,104.74,105.36,81728
2020-11-12,102.31,102.83,101.53,102.75,95436
2020-11-13,102.18,102.62,101.26,101.77,51539
2020-11-16,101.94,103.41,101.85,102.55,191382
2020-11-17,103.86,104.41,103.12,103.38,143948
2020-11-18,105.61,106.54,104.55,105.64,98785
2020-11-19,106.88,107.71,106.39,106.57,136436
2020-11-20,106.44,106.81,104.69,106.27,84069
2020-11-23,108.02,108.5,105.67,106.09,145761
2020-11-24,106.35,106.89,105.22,105.87,99593
2020-11-25,107.41,108.07,104.74,106.43,126382
2020-11-26,105.09,106.35,104.43,105.79,198725
2020-11-27,106.51,107.15,106.01,106.44,55606
2020-11-30,106.98,107.27,106.53,106.69,153844
2020-12-01,102.37,103.72,102.04,103.45,77843
2020-12-02,102.29,103.07,101.33,101.9,69627
2020-12-03,101.56,102.01,101.2,101.95,125318
2020-12-04,104.29,105.12,104.13,104.53,156719
2020-12-07,99.9,100.69,98.84,100.12,152828
2020-12-08,102.11,102.3,101.42,101.85,156975
2020-12-09,102.11,103.0,101.57,102.84,156438
2020-12-10,106.42,107.66,106.14,106.36,150699
2020-12-11,104.94,106.24,104.12,105.65,86133
2020-12-14,103.58,106.77,101.6,103.73,93129
2020-12-15,104.21,105.39,104.13,105.37,79831
2020-12-16,105.9,106.36,102.6,104.58,103051
2020-12-17,104.65,104.72,103.84,104.18,103473
2020-12-18,102.3,102.85,101.3,102.67,85081
2020-12-21,102.99,103.57,102.87,103.1,80063
2020-12-22,105.58,107.0,105.49,106.02,163604
2020-12-23,101.28,104.22,101.04,103.21,100494
2020-12-24,105.19,106.77,104.09,105.55,136126
2020-12-25,106.66,107.9,104.95,106.01,57235
2020-12-28,105.54,105.71,105.06,105.6,82230
2020-12-29,103.97,105.82,103.77,104.37,116677
2020-12-30,105.68,106.45,104.59,105.12,119806
2020-12-31,108.11,108.62,106.24,107.66,144242
2021-01-01,108.03,108.13,105.66,106.85,130428
2021-01-04,104.58,105.75,103.78,105.22,93894
2021-01-05,106.97,107.15,106.93,106.97,78379
2021-01-06,107.94,108.56,104.87,106.74,167626
2021-01-07,100.47,101.32,98.68,100.77,131533
2021-01-08,100.49,100.63,100.47,100.47,70923
2021-01-11,92.1,93.22,91.24,92.75,78756
2021-01-12,93.48,94.7,92.33,93.42,182447
2021-01-13,91.23,92.34,89.72,91.3,135216
2021-01-14,92.7,93.77,92.21,92.74,153889
2021-01-15,90.33,91.96,90.26,91.79,79320
2021-01-18,90.37,91.89,90.0,91.4,52159
2021-01-19,91.04,91.81,90.68,91.66,193093
2021-01-20,90.41,91.85,88.89,90.22,111497
2021-01-21,88.58,88.72,88.52,88.72,50901
2021-01-22,88.02,88.04,87.67,87.98,186694
2021-01-25,90.37,91.06,90.35,90.45,109251
2021-01-26,91.02,91.31,88.51,90.78,72499
2021-01-27,91.82,93.32,91.61,93.28,135473
2021-01-28,95.53,95.74,94.66,95.52,106344
2021-01-29,95.61,95.82,95.33,95.52,87344
2021-02-01,97.23,98.31,96.87,97.49,131441
2021-02-02,98.31,99.66,96.36,97.7,64175
2021-02-03,97.51,97.72,96.95,97.34,165721
2021-02-04,99.2,100.33,98.76,98.85,152780
2021-02-05,99.73,100.23,97.74,98.91,108755
2021-02-08,98.48,99.38,97.34,98.53,146502
2021-02-09,101.28,101.47,99.83,100.4,155219
2021-02-10,100.73,101.71,100.68,101.05,57533
2021-02-11,102.22,102.48,99.59,100.65,74648
2021-02-12,98.76,99.85,98.0,99.08,198246
2021-02-15,102.49,104.08,102.34,102.84,111084
2021-02-16,104.83,105.25,103.47,104.2,72616
2021-02-17,101.03,102.33,100.96,101.88,152892
2021-02-18,103.96,104.88,102.71,103.64,182201
2021-02-19,104.38,106.36,104.04,105.5,118469
2021-02-22,103.89,105.43,102.87,104.35,181965
2021-02-23,102.78,102.89,101.63,102.28,110430
2021-02-24,102.44,102.55,101.84,102.12,106240
2021-02-25,102.11,104.75,102.04,103.47,76928
2021-02-26,104.45,105.16,104.36,105.13,70039
2021-03-01,107.93,108.45,107.44,108.26,157792
2021-03-02,110.82,111.01,109.67,110.15,60785
2021-03-03,109.97,110.64,109.89,110.16,105192
2021-03-04,112.12,112.6,111.97,112.43,131010
2021-03-05,115.42,115.96,115.3,115.5,104460
2021-03-08,113.08,113.76,111.01,112.42,92771
2021-03-09,112.98,113.34,111.49,112.28,152272
2021-03-10,116.67,117.05,115.96,116.17,121916
2021-03-11,118.59,118.73,118.46,118.64,124694
2021-03-12,118.81,119.1,117.32,117.78,137924
2021-03-15,119.16,120.63,117.16,119.17,104970
2021-03-16,119.36,120.0,116.25,118.98,195631
2021-03-17,118.58,119.68,115.92,118.77,100492
2021-03-18,120.44,120.83,119.41,119.78,88737
2021-03-19,116.46,117.74,116.4,116.66,65386
2021-03-22,116.42,118.58,115.62,117.33,103634
2021-03-23,116.31,117.62,116.11,116.51,191215
2021-03-24,118.92,120.78,118.53,120.55,84758
2021-03-25,122.94,123.58,122.27,123.56,71029
2021-03-26,121.96,122.47,121.5,122.28,194740
2021-03-29,122.74,124.69,121.36,123.46,101796
2021-03-30,128.45,128.67,126.65,127.09,187521
2021-03-31,127.75,129.71,126.09,128.43,187126
2021-04-01,132.1,132.11,128.75,130.94,138388
2021-04-02,130.41,132.5,128.49,131.04,116985
2021-04-05,130.34,131.76,130.14,130.82,190896
2021-04-06,128.45,128.81,128.18,128.39,50215
2021-04-07,132.56,134.86,132.38,133.44,93066
2021-04-08,131.09,133.74,130.76,131.83,78899
2021-04-09,132.56,134.08,131.99,133.07,179648
2021-04-12,140.71,142.29,139.9,140.53,181300
2021-04-13,142.37,142.63,140.47,141.27,83686
2021-04-14,139.54,139.62,139.44,139.49,92818
2021-04-15,145.09,146.1,143.79,145.25,163221
2021-04-16,141.08,141.1,138.46,140.75,81601
2021-04-19,143.0,143.8,142.58,143.39,154186
2021-04-20,145.49,146.04,145.42,145.59,159765
2021-04-21,144.47,146.65,144.47,145.19,130960
2021-04-22,144.96,146.2,144.04,144.27,152072
2021-04-23,140.61,142.66,139.37,141.73,128282
2021-04-26,144.43,145.34,143.99,145.32,187152
2021-04-27,143.35,145.42,142.38,143.9,116766
2021-04-28,144.11,144.46,143.49,143.91,74466
2021-04-29,143.26,143.78,141.79,143.65,158047
2021-04-30,144.77,145.49,144.76,145.11,52895
2021-05-03,146.38,146.48,145.98,145.98,135382
2021-05-04,146.58,148.19,145.93,147.25,59196
2021-05-05,141.4,145.23,140.68,143.89,151010
2021-05-06,145.83,147.07,144.82,145.71,55269
2021-05-07,144.77,147.35,144.29,146.2,85897
2021-05-10,143.74,144.55,143.16,144.24,120934
2021-05-11,144.06,144.47,141.66,143.18,160776
2021-05-12,143.79,144.26,141.5,144.21,153247
2021-05-13,145.33,145.41,145.08,145.34,53225
2021-05-14,150.7,151.77,148.86,150.83,162224
2021-05-17,154.92,155.26,153.49,154.83,76502
2021-05-18,159.64,160.45,158.0,160.05,53174
2021-05-19,159.52,160.29,157.82,158.48,122635
2021-05-20,152.88,153.6,152.66,153.18,186873
2021-05-21,151.76,152.28,151.03,151.19,138095
2021-05-24,140.88,142.63,140.44,141.09,138177
2021-05-25,139.27,139.77,138.2,139.31,131685
2021-05-26,137.59,137.76,136.57,137.58,77160
2021-05-27,137.84,139.51,136.78,137.59,111868
2021-05-28,131.32,132.3,130.15,130.44,185895
2021-05-31,129.52,130.51,129.08,129.14,196768
2021-06-01,129.24,129.86,128.39,129.63,128518
2021-06-02,130.7,130.8,129.96,130.25,181567
2021-06-03,129.59,132.13,128.96,131.07,124462
2021-06-04,132.4,132.5,132.27,132.5,82363
2021-06-07,138.4,139.01,136.64,136.91,129795
2021-06-08,135.79,137.87,135.05,135.23,196864
2021-06-09,133.82,136.89,132.16,136.1,61049
2021-06-10,148.65,150.58,147.19,147.9,107986
2021-06-11,147.79,149.08,147.06,147.38,155315
2021-06-14,138.74,139.0,137.99,138.78,83980
2021-06-15,136.42,139.11,136.36,138.61,79813
2021-06-16,139.12,139.99,136.52,139.22,61397
2021-06-17,139.32,139.88,137.64,138.31,152489
2021-06-18,135.35,139.3,135.24,138.74,170382
2021-06-21,135.73,136.6,135.17,136.49,61549
2021-06-22,139.11,140.4,136.35,137.29,169779
2021-06-23,140.28,142.48,138.88,140.54,56447
2021-06-24,141.57,142.09,140.19,140.43,186066
2021-06-25,139.64,140.03,137.31,137.41,123805
2021-06-28,133.51,134.77,131.17,132.31,137173
2021-06-29,129.97,131.52,129.78,129.8,70659
2021-06-30,130.74,132.02,129.9,131.52,120111
2021-07-01,133.15,133.38,131.62,132.83,67199
2021-07-02,132.1,134.48,131.2,132.66,193737
2021-07-05,127.25,128.95,127.02,127.89,113580
2021-07-06,128.15,128.79,126.23,128.59,156311
2021-07-07,126.05,126.37,125.9,126.2,74054
2021-07-08,129.09,129.39,128.74,128.96,184312
2021-07-09,129.65,130.4,128.95,129.65,175865
2021-07-12,134.27,135.04,133.02,134.51,184275
2021-07-13,134.83,136.28,134.63,134.93,58521
2021-07-14,137.38,138.13,135.87,136.39,168206
2021-07-15,134.55,137.18,134.14,135.04,190399
2021-07-16,139.27,141.38,137.64,138.71,139044
2021-07-19,147.29,148.18,147.22,147.66,192355
2021-07-20,142.71,143.51,142.32,143.5,96501
2021-07-21,144.17,144.46,144.03,144.24,65734
2021-07-22,144.22,144.97,143.87,144.11,163783
2021-07-23,144.45,144.72,144.01,144.7,98570
2021-07-26,155.52,156.78,154.46,155.69,158491
2021-07-27,169.6,170.72,168.47,169.5,90115
2021-07-28,174.16,174.35,173.99,174.07,69222
2021-07-29,176.73,176.91,175.75,176.77,128353
2021-07-30,176.73,177.45,175.56,177.05,136450
2021-08-02,171.79,175.86,169.76,172.95,187799
2021-08-03,173.18,174.9,172.99,174.42,164826
2021-08-04,174.27,175.33,173.15,175.0,192226
2021-08-05,176.33,179.37,175.56,177.35,96330
2021-08-06,179.81,180.09,176.31,178.37,96900
2021-08-09,182.77,185.18,182.6,182.92,75938
2021-08-10,189.51,190.63,188.09,188.87,190537
2021-08-11,192.64,192.93,191.8,192.23,191900
2021-08-12,195.61,197.97,195.59,197.13,95337
2021-08-13,194.06,196.62,193.96,195.81,156749
2021-08-16,203.87,204.34,200.42,203.32,55636
2021-08-17,203.57,205.76,202.75,204.51,50654
2021-08-18,199.41,202.06,198.27,200.53,152127
2021-08-19,202.66,204.95,202.05,204.17,168422
2021-08-20,200.3,204.42,199.59,203.68,101660
2021-08-23,201.94,202.24,200.93,201.66,177043
2021-08-24,204.77,205.93,204.22,205.12,156379
2021-08-25,202.66,207.4,202.48,204.31,191835
2021-08-26,205.65,207.93,201.93,204.44,132018
2021-08-27,211.3,211.63,206.36,209.33,149508
2021-08-30,214.02,215.15,210.33,212.52,140879
2021-08-31,213.25,215.6,211.69,213.97,87045
2021-09-01,213.15,213.23,208.86,211.16,119521
2021-09-02,206.54,207.16,206.11,206.88,53681
2021-09-03,205.57,206.01,202.62,205.41,155386
2021-09-06,216.64,219.16,214.99,216.68,77675
2021-09-07,211.15,214.96,210.38,214.44,107104
2021-09-08,214.66,215.32,213.73,214.02,71673
2021-09-09,218.2,221.65,217.91,219.23,162698
2021-09-10,208.3,214.16,208.26,213.86,87335
2021-09-13,217.96,218.66,217.24,218.03,159934
2021-09-14,222.79,223.22,222.35,223.1,127527
2021-09-15,226.67,229.47,223.44,224.59,121116
2021-09-16,222.47,223.92,221.16,223.63,65339
2021-09-17,232.68,233.95,229.86,230.22,179526
2021-09-20,230.4,232.92,230.32,230.73,89619
2021-09-21,235.99,236.22,234.89,235.64,94980
2021-09-22,229.12,231.97,226.24,230.01,87196
2021-09-23,229.98,235.27,228.86,232.49,77043
2021-09-24,236.13,238.25,234.25,235.92,65366
2021-09-27,247.76,251.67,247.73,248.83,69423
2021-09-28,250.11,250.48,247.05,247.2,171225
2021-09-29,245.35,246.82,241.81,244.94,73956
2021-09-30,242.31,243.69,241.77,243.01,51168
2021-10-01,249.4,250.51,248.42,249.31,53516
2021-10-04,247.14,248.55,246.57,248.37,115184
2021-10-05,243.86,245.06,242.27,244.45,53626
2021-10-06,242.52,249.02,238.38,244.83,197717
2021-10-07,245.08,245.27,244.9,245.12,168910
2021-10-08,245.59,245.77,244.06,245.61,160084
2021-10-11,246.05,248.43,245.12,247.82,121260
2021-10-12,243.27,244.69,241.25,243.34,141288
2021-10-13,239.21,245.26,237.09,244.06,77307
2021-10-14,245.28,245.35,243.4,244.72,72486
2021-10-15,247.24,250.65,245.43,247.04,132768
2021-10-18,245.08,245.68,243.83,244.24,91662
2021-10-19,248.3,248.69,246.86,247.23,61182
2021-10-20,249.13,250.54,244.94,245.8,81556
2021-10-21,243.54,249.75,239.3,244.88,193788
2021-10-22,242.77,243.25,242.71,243.07,101012
2021-10-25,245.21,245.49,244.79,244.81,58720
2021-10-26,247.5,249.11,247.48,248.34,108655
2021-10-27,253.82,256.15,251.64,252.52,84812
2021-10-28,248.13,250.6,246.87,247.03,86160
2021-10-29,249.27,251.8,248.49,250.33,145377
2021-11-01,242.79,243.49,238.0,241.15,79777
2021-11-02,245.48,246.36,243.24,245.79,197270
2021-11-03,248.5,250.84,247.67,248.41,171544
2021-11-04,244.14,244.22,241.67,242.38,130280
2021-11-05,241.58,244.37,241.2,243.05,194252
2021-11-08,248.47,253.24,246.28,249.32,196025
2021-11-09,253.85,256.65,252.6,254.09,81169
2021-11-10,259.81,259.96,250.78,254.63,153619
2021-11-11,255.24,257.04,253.47,256.13,115185
2021-11-12,250.66,251.18,249.17,250.82,189133
2021-11-15,262.35,263.55,257.06,259.39,192692
2021-11-16,256.26,260.02,255.68,256.21,61826
2021-11-17,256.8,259.99,252.97,256.89,192339
2021-11-18,252.14,253.51,251.63,252.87,107042
2021-11-19,252.64,257.33,251.34,253.16,119093
2021-11-22,245.61,248.75,245.38,247.19,91269
2021-11-23,250.48,253.53,248.16,250.19,140925
2021-11-24,251.95,253.07,249.5,252.03,174647
2021-11-25,264.62,264.65,259.6,262.96,82332
2021-11-26,265.6,267.73,260.79,263.2,93481
2021-11-29,267.19,267.65,264.3,264.74,134363
2021-11-30,262.21,262.28,257.01,259.86,60024
2021-12-01,256.32,257.62,254.84,257.21,120601
2021-12-02,256.1,257.33,254.47,256.12,82940
2021-12-03,261.46,265.64,260.58,260.97,76505
2021-12-06,262.91,269.55,262.56,268.68,90522
2021-12-07,274.86,275.29,269.18,270.4,93539
2021-12-08,270.85,273.75,268.34,270.63,98784
2021-12-09,270.79,273.42,269.64,270.09,103997
2021-12-10,268.86,269.62,266.33,267.88,106920
2021-12-13,266.36,267.16,265.56,265.75,74624
2021-12-14,266.27,269.67,262.45,268.07,110390
2021-12-15,272.52,274.68,271.61,274.67,65994
2021-12-16,271.3,275.04,270.57,272.33,67205
2021-12-17,265.38,269.19,261.18,268.24,68316
2021-12-20,267.97,268.95,266.15,266.37,130052
2021-12-21,260.3,261.19,258.69,260.2,86701
2021-12-22,252.12,254.01,251.45,252.48,155185
2021-12-23,253.4,254.06,252.72,253.94,172002
2021-12-24,260.98,262.71,257.9,260.36,134146
2021-12-27,266.18,268.29,258.27,264.65,85187
2021-12-28,262.75,270.0,262.59,265.38,54042
2021-12-29,260.36,261.76,258.87,259.8,77938
2021-12-30,254.91,257.31,254.81,256.99,193233
2021-12-31,261.22,263.22,259.51,261.81,113745
2022-01-03,264.75,264.98,260.62,261.12,151489
2022-01-04,257.0,262.41,256.62,261.72,196245
2022-01-05,264.22,265.26,261.14,262.53,94377
2022-01-06,260.54,263.95,258.96,261.36,80461
2022-01-07,263.44,266.07,263.4,264.19,75523
2022-01-10,259.58,259.7,258.73,259.69,93162
2022-01-11,252.16,253.99,250.83,252.59,192509
2022-01-12,254.02,255.03,253.21,254.57,176150
2022-01-13,254.3,256.65,253.08,256.1,172863
2022-01-14,268.7,270.35,263.65,265.73,74143
2022-01-17,266.69,267.53,266.12,266.89,178406
2022-01-18,269.25,270.82,267.51,268.23,120309
2022-01-19,272.31,272.34,266.67,267.58,76572
2022-01-20,265.67,267.74,259.7,264.6,94678
